Time (s),Power (W)
889,-674.7402715
890,2192.303759
891,2675.615679
892,1616.206658
893,442.3034793
894,-688.5482218
895,765.9528475
896,1298.67229
897,1711.949093
898,492.8315056
899,-468.3783095
900,-1405.730583
901,-498.8918766
902,660.5012254
903,1528.198854
904,1286.513989
905,15.05227697
906,-546.7063403
907,-169.0852295
908,-27.7331506
909,837.6837133
910,1357.496862
911,1154.970866
912,-297.8440008
913,-957.3798195
914,-1457.750367
915,-1132.061303
916,-1265.463762
917,-380.8207292
918,-128.9159619
919,-337.9420472
920,1688.971915
921,2231.497424
922,2472.616752
923,1342.282227
924,538.8362291
925,625.6533083
926,380.6605199
927,832.3220772
928,1622.891478
929,1648.976236
930,-168.1908731
931,-647.6502796
932,-274.0818659
933,443.3705176
934,581.1509724
935,936.1496305
936,292.3680758
937,-142.4525499
938,-6.373030619
939,1185.460014
940,1044.065309
941,629.9810236
942,908.8473624
943,-928.5664571
944,341.0460324
945,1222.354172
946,1876.361773
947,393.3037615
948,-1130.57749
949,-3581.492484
950,-3770.236889
951,-5577.444472
952,-4265.593506
953,-3545.51815
954,-3061.713603
955,-2610.067454
956,-1429.254473
957,-28.34989052
958,0
959,0
960,362.9406742
961,1549.264341
962,2207.374574
963,2618.800386
964,3742.863676
965,3654.701316
966,2601.4425
967,2927.850175
968,1936.031264
969,1125.593551
970,1668.777011
971,3505.686935
972,5109.251745
973,3973.483653
974,2021.087556
975,415.8281018
976,154.5408807
977,696.7250507
978,1576.347594
979,-186.1898081
980,462.2408163
981,-721.9030211
982,-1111.30713
983,-372.1054619
984,103.8740844
985,829.4762418
986,-69.22087968
987,-2308.057629
988,-4239.973904
989,-1020.223259
990,621.1620739
991,1676.51618
992,2185.869625
993,1142.428833
994,-743.5145663
995,-259.3753422
996,835.4021894
997,549.239343
998,1109.368471
999,431.0971888
1000,1247.732978
1001,610.5448077
1002,1533.22089
1003,1506.295718
1004,2004.249444
1005,1590.874568
1006,238.8846049
1007,-620.0676823
1008,-904.9245961
1009,-812.2281668
1010,453.0701547
1011,-45.07323899
1012,-503.0321648
1013,-1128.279509
1014,-1110.4579
1015,-137.7313056
1016,-919.9967302
1017,-4044.278715
1018,-4489.474262
1019,-4717.884896
1020,-4062.983851
1021,-2954.52704
1022,-1503.088421
1023,-56.76964903
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,161.4093144
1054,1261.000318
1055,2469.013143
1056,2940.256718
1057,3155.038721
1058,3928.507797
1059,2622.434062
1060,3381.282799
1061,4031.54123
1062,2481.345923
1063,1568.420352
1064,1334.389563
1065,2159.643474
1066,3191.868232
1067,2161.798589
1068,2035.671129
1069,1071.836081
1070,749.3485286
1071,-283.3084063
1072,210.2464162
1073,523.8332039
1074,1057.617463
1075,-1361.607316
1076,-4091.225613
1077,-3933.003693
1078,-1143.229613
1079,-452.9685544
1080,-3571.79878
1081,-4318.99146
1082,-3710.850018
1083,-1542.852833
1084,-444.7336569
1085,-195.1168007
1086,-87.64454566
1087,-321.5535252
1088,-712.1809255
1089,-390.0772255
1090,135.2984596
1091,506.0816662
1092,131.6694542
1093,86.54965304
1094,-758.3026038
1095,-1296.100799
1096,-1592.294366
1097,-390.0446985
1098,-567.7033144
1099,-480.7774401
1100,-113.2574828
1101,-3.736639337
1102,15.01330764
1103,188.4419718
1104,950.546343
1105,2306.288748
1106,2697.539393
1107,2517.884618
1108,1065.884897
1109,719.4858564
1110,2607.204065
1111,3828.960542
1112,3374.011131
1113,1420.473684
1114,-98.64487035
1115,320.7348585
1116,945.6308115
1117,1669.934129
1118,2182.828503
1119,886.4246909
1120,1120.602454
1121,1336.792529
1122,1862.535639
1123,1135.295653
1124,954.6175704
1125,629.9567052
1126,422.4812418
1127,764.1239287
1128,1094.875943
1129,2231.198763
1130,1933.538356
1131,1159.688316
1132,99.56566925
1133,-230.6822083
1134,510.5377376
1135,1094.807662
1136,1411.216937
1137,891.4922637
1138,-682.2647963
1139,-595.8113739
1140,-588.0452326
1141,20.49258383
1142,-363.7976022
1143,-1274.919688
1144,-3692.66387
1145,-3104.742041
1146,-4205.344464
1147,-1833.276771
1148,-1993.969912
1149,-3726.054088
1150,-3692.840976
1151,-3125.052708
1152,-1743.079079
1153,-62.89595327
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,316.093242
1170,1296.121734
1171,2183.613439
1172,3175.761275
1173,4508.314813
1174,5463.729825
1175,4359.696782
1176,3095.789723
1177,603.5683997
1178,-642.9657878
1179,93.4574396
1180,-3420.258049
1181,-4889.221538
1182,-4737.14557
1183,-4407.490347
1184,-3575.427722
1185,-2350.489395
1186,-1015.6678
1187,0.738925827
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,3.620533461
1198,273.9502875
1199,895.0180474
1200,1868.095209
1201,2525.949175
1202,1774.355044
1203,921.7365784
